ano;sigla;regiao;estado;valor;valor_anl_negros_prados;valor_anl_brancos;valor_anl_homem;valor_anl_mulher;valor_pobreza;valor_indice_gini;valor_absoluto_disparidade;valor_despesa_educacao;tipo_indicador;data_carga;data_referencia;valor_populacional;valor_pib
2023;ES;"Região Sudeste      ";"Espírito Santo      ";4,4;NULL;NULL;NULL;NULL;22,8134626379244;0,486;1883899,52720601;3285699122,44;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2023-12-01;3876336,47573252;1915
2017;GO;"Região Centro-Oeste ";"Goiás               ";5,4;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2017-12-01;NULL;NULL
2018;GO;"Região Centro-Oeste ";"Goiás               ";5,2;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2018-12-01;NULL;NULL
2019;GO;"Região Centro-Oeste ";"Goiás               ";4,6;NULL;NULL;NULL;NULL;27,1;0,46;3228442,84;5448902014,08;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2019-12-01;7018354;NULL
2022;GO;"Região Centro-Oeste ";"Goiás               ";4,5;NULL;NULL;NULL;NULL;22,7;0,456;3217761,72;5824915549,9;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2022-12-01;7056495;NULL
2023;GO;"Região Centro-Oeste ";"Goiás               ";4;NULL;NULL;NULL;NULL;18,4388884256177;0,473;3382185,57886738;6090054516,99;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2023-12-01;7150498,05257373;2017
2017;MA;"Região Nordeste     ";"Maranhão            ";15,8;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2017-12-01;NULL;NULL
2018;MA;"Região Nordeste     ";"Maranhão            ";15,3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2018-12-01;NULL;NULL
2019;MA;"Região Nordeste     ";"Maranhão            ";14,6;NULL;NULL;NULL;NULL;62,1;0,531;3756921,111;3062795258,35;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2019-12-01;7075181;NULL
2022;MA;"Região Nordeste     ";"Maranhão            ";12,1;NULL;NULL;NULL;NULL;56,7;0,491;3327359,209;3775463113,91;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2022-12-01;6776699;NULL
2023;MA;"Região Nordeste     ";"Maranhão            ";11,5;NULL;NULL;NULL;NULL;51,2180090410523;0,492;3352483,03298388;3803144060,01;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2023-12-01;6813989,90443878;945
